Mileage (km/l),Engine Size (cc),Price (Lakhs)
13.06,1000,13.48
8.8,1200,17.31
19.85,1200,16.95
15.77,2000,29.31
17.07,1000,16.55
18.86,1500,25.04
8.18,1200,17.73
15.49,1000,11.99
13.76,1500,19.94
16.25,1200,21.92
18.31,1200,21.06
22.21,1000,20.53
22.83,1500,23.24
22.73,1500,23.9
22.75,1000,20.14
20.22,1000,17.26
26.38,1000,16.5
22.41,800,17.03
24.1,1800,25.24
18.93,1000,16.16
22.96,1000,20.29
20.69,1200,20.36
14.73,800,13.79
6.26,800,8.8
16.31,1500,22.24
20.74,1000,19.56
8.96,1500,11.45
15.79,1200,18.52
20.29,1200,20.7
12.13,1200,20.24
16.72,1800,25.84
20.85,1500,23.99
17.74,2000,24.09
18.28,1200,22.99
13.59,800,14.61
14.99,1000,16.76
19.24,1000,16.53
21.57,1800,28.21
21.41,1200,18.37
14.29,2000,24.11
13.04,2000,27.04
21.74,2000,29.24
17.41,1800,18.87
22.97,1200,20.74
27.71,800,20.17
19.9,2000,27.85
21.78,1200,20.36
20.25,1500,22.47
18.27,1200,19.27
23.05,800,16.65
15.29,1200,15.42
16.4,800,17.04
14.13,1000,10.52
16.75,1000,17.23
20.66,1000,13.0
16.46,1200,18.08
16.31,1200,16.91
18.16,1200,22.27
15.55,1200,19.74
16.62,1800,21.55
21.41,1000,15.89
13.83,1500,16.92
17.98,1500,20.63
21.46,1200,19.5
18.51,1000,19.68
18.87,1000,20.93
19.07,800,12.21
20.83,800,16.28
16.71,1200,20.53
24.03,1200,21.63
19.7,1000,17.71
9.08,1200,9.71
18.31,1200,17.62
20.33,1200,20.06
17.92,1000,17.91
15.04,1200,21.16
11.67,1500,20.05
19.74,800,17.53
16.28,1000,18.64
15.87,1500,23.11
15.86,1200,18.84
18.91,1500,19.29
16.73,800,15.74
24.15,800,15.05
16.3,800,10.8
24.83,800,15.77
13.95,2000,26.58
13.45,1500,18.49
13.27,1500,20.66
17.01,1200,17.54
16.61,1800,26.18
23.03,1200,18.32
14.76,1200,17.91
21.3,1200,22.31
18.94,1000,14.07
21.07,1800,24.5
14.44,800,15.67
16.99,1200,15.45
12.6,1000,15.47
18.17,1200,19.07
13.19,1800,23.53
15.62,1500,18.84
27.79,1200,21.35
23.46,1500,24.78
17.83,800,14.94
19.95,1800,24.9
11.87,800,15.92
14.69,1200,19.44
21.72,800,19.77
22.16,1500,24.19
12.89,1200,16.71
24.69,1500,19.17
13.73,1800,23.27
19.61,1200,19.5
15.36,1200,21.46
16.09,800,14.12
21.3,2000,30.36
12.69,1500,22.02
22.78,1000,19.78
19.07,1200,21.67
17.34,1500,22.45
23.29,1500,22.67
18.6,1000,16.21
11.98,1500,21.46
18.33,1500,20.12
10.12,1500,24.09
15.59,1000,14.46
16.52,1000,15.87
32.13,1200,21.23
20.53,1000,16.73
20.27,2000,25.42
19.13,1500,23.2
21.9,1000,18.44
20.72,1500,23.4
20.13,1800,24.3
19.88,800,18.68
11.65,1500,18.96
21.03,1800,23.02
18.39,800,12.41
16.59,1500,18.35
14.41,1200,20.16
19.19,1200,19.24
26.9,1000,17.98
20.08,800,17.72
23.61,1000,16.91
20.78,1800,24.21
23.84,1500,27.01
20.74,1000,19.28
19.1,1500,26.0
21.32,1200,21.96
12.8,1000,13.44
19.15,1200,19.21
21.5,1000,17.09
20.57,1500,23.95
21.59,1200,20.79
17.42,1500,22.08
22.67,1500,25.53
19.76,1200,19.88
22.42,1200,21.75
17.9,1800,22.56
16.39,2000,26.93
13.3,1000,15.38
17.95,1000,19.63
18.95,1000,14.87
16.1,1200,22.22
21.57,800,17.78
16.36,1200,15.62
22.62,1200,22.52
16.61,1200,20.0
17.03,1200,20.59
13.36,1000,15.98
15.56,1500,23.18
23.65,1000,16.85
14.68,1000,11.99
25.77,1000,19.88
19.88,1800,24.06
20.37,1200,21.11
11.48,1200,15.42
17.95,800,17.76
14.56,1200,18.81
20.33,1800,29.43
7.85,800,8.56
25.28,1000,20.28
14.13,1500,24.16
13.57,1200,19.04
16.56,1500,21.2
20.18,1200,16.34
11.33,1800,22.63
15.74,1200,15.61
18.5,1800,21.91
15.89,1200,18.03
24.41,1500,27.87
9.79,1000,16.0
10.39,800,12.22
20.97,1200,21.3
13.81,1800,23.02
14.36,1200,15.0
17.91,1000,16.13
17.82,1000,18.24
22.18,1200,18.49
20.61,800,13.05
24.82,1200,21.61
23.59,800,15.68
17.34,1200,18.64
17.5,800,19.05
15.46,1000,12.79
19.89,1500,25.07
12.68,1800,24.53
20.71,2000,28.98
16.83,1200,16.63
21.02,1000,16.25
14.69,1200,19.52
13.36,800,17.96
20.52,1500,20.12
17.53,1200,15.19
19.52,1000,16.02
17.12,1800,25.15
14.23,1000,18.61
15.04,1000,15.44
21.75,2000,25.91
18.09,1200,16.6
17.79,1500,23.07
19.28,2000,26.16
19.18,1200,18.23
19.05,800,14.89
18.56,1200,20.88
17.65,1200,22.07
15.73,1200,19.56
14.94,1200,19.29
24.95,1500,23.05
18.83,1200,20.41
12.53,1200,15.3
21.04,1800,24.38
18.79,1200,16.33
18.9,1200,16.21
23.47,800,17.03
22.38,1500,26.53
14.32,1800,22.65
22.41,1200,20.06
15.32,1200,17.25
17.97,1200,21.89
19.73,1200,20.15
21.13,1800,25.09
21.32,1800,29.64
18.75,1200,20.07
18.61,1200,15.72
22.63,2000,26.69
26.87,1800,32.73
18.05,1500,23.73
18.93,1200,20.0
17.83,1000,13.67
21.96,1200,19.9
18.44,1500,23.69
12.48,1500,21.32
15.99,1500,19.21
21.76,1500,21.63
13.6,1800,19.49
24.5,1200,22.61
17.95,1000,18.14
16.85,1800,28.07
16.61,1500,24.79
16.98,1000,17.22
14.48,1500,22.14
15.77,2000,27.03
18.59,1800,28.83
23.31,1200,20.03
16.3,1000,16.42
21.48,1000,16.75
17.42,800,12.85
11.72,1200,22.44
13.82,1000,17.89
15.84,1000,17.54
16.01,1500,25.21
15.76,1800,23.05
19.1,1500,19.91
21.13,1200,22.32
14.41,1200,19.38
15.34,1800,20.15
16.44,1000,14.81
14.32,1500,20.6
16.84,1000,15.36
14.05,1000,15.15
21.29,1800,25.24
19.29,1200,21.29
18.7,1200,18.17
17.36,800,14.51
19.11,1200,21.24
20.11,1500,22.63
22.65,1000,20.19
24.65,1200,22.94
16.51,1200,19.84
22.47,1500,25.39
12.19,1800,23.95
17.98,1200,19.25
19.03,2000,27.55
17.21,1800,22.41
14.47,1200,15.91
18.4,800,15.03
17.96,800,15.85
19.33,1200,19.36
16.93,1000,16.61
20.68,800,16.17
20.85,800,13.02
14.56,1500,18.91
22.72,800,20.34
22.99,1500,26.48
20.65,2000,26.43
13.59,1500,19.54
14.24,1500,24.42
16.83,800,15.39
20.09,1800,27.35
18.43,1500,20.85
15.04,1200,16.18
23.57,800,16.0
21.12,1800,28.09
16.41,1800,25.82
15.69,1000,18.0
19.02,1500,25.23
18.77,1200,18.75
14.35,800,13.39
15.43,1200,17.45
13.24,1200,17.16
21.77,1200,18.99
13.86,800,17.0
16.95,1000,13.99
24.25,1500,25.59
20.15,1800,26.95
11.9,800,13.69
14.19,1500,18.23
13.7,1500,23.16
23.94,1500,24.86
17.38,1500,23.03
10.91,1200,15.3
15.05,2000,26.31
12.31,1500,20.52
19.03,1200,19.19
12.64,1200,18.47
25.2,1500,27.14
19.09,800,15.55
17.11,1000,17.32
11.8,1000,13.86
17.38,2000,26.7
17.23,1000,16.01
15.75,2000,24.89
16.82,1500,23.92
29.56,2000,35.32
15.34,800,17.42
22.93,1800,23.55
14.94,1500,23.12
16.81,1500,24.33
15.27,800,12.23
18.77,1500,25.99
15.02,1800,26.66
18.37,1200,22.76
19.73,1500,25.28
23.6,1800,26.58
11.7,1500,19.14
27.17,1800,28.51
16.37,1200,20.74
22.25,1800,24.95
11.12,1500,20.57
12.47,1500,18.46
17.01,1500,21.37
23.75,800,17.86
24.45,2000,31.39
23.72,1800,29.17
11.04,800,7.7
12.84,800,8.63
15.18,1200,18.38
16.52,800,14.95
24.8,800,15.58
19.45,800,11.87
7.47,1000,12.53
15.32,1200,17.55
17.82,800,14.72
12.73,1200,16.39
23.51,1500,21.78
15.82,1500,23.68
16.57,2000,27.65
15.07,1500,21.69
14.33,1200,17.02
22.3,1200,19.7
13.51,1200,21.65
18.25,800,16.06
21.85,800,16.28
13.95,1800,22.72
22.56,1200,21.61
6.11,1200,14.96
16.37,1200,20.24
17.41,1000,16.96
9.87,2000,24.72
20.45,1500,24.48
14.17,1500,18.77
22.18,1000,19.58
24.22,800,15.15
20.1,1000,17.49
16.14,1800,25.31
12.58,1800,21.42
25.94,1200,24.99
20.26,1800,22.72
22.35,1500,23.39
19.79,1500,21.23
16.48,1000,14.98
22.32,1800,27.44
14.78,1500,21.24
24.97,2000,28.21
12.41,1200,17.14
13.39,1800,23.35
19.1,1500,21.68
10.9,1800,22.31
19.8,1500,21.86
15.19,1200,20.43
18.06,800,15.23
19.62,1000,15.84
16.91,1500,20.64
14.03,1200,18.19
20.18,800,18.35
17.6,1800,25.95
24.87,800,17.5
14.18,1500,22.5
24.03,1200,21.09
14.07,1200,17.62
19.73,1200,19.41
18.77,1200,19.72
14.85,1800,22.47
21.67,2000,30.32
14.8,800,9.88
16.26,1200,21.48
22.31,1000,19.21
15.01,1000,18.34
16.79,1800,25.96
19.95,2000,29.94
18.24,1200,18.12
21.44,1200,19.72
13.29,1200,17.93
19.94,1800,26.01
19.64,1800,23.57
14.67,1200,19.01
19.24,1200,17.36
17.62,1200,17.17
17.77,1200,17.48
8.63,1200,12.18
21.28,1200,22.01
17.75,1200,21.54
12.06,1200,15.11
19.73,1200,18.09
19.32,1800,24.39
20.59,1200,18.34
20.85,2000,28.0
20.41,1800,24.56
22.57,1200,22.14
10.68,1200,16.57
19.91,1200,23.76
11.86,1200,19.34
11.11,1000,15.5
13.18,1500,19.6
20.15,1000,19.06
15.22,1200,20.04
21.34,1200,21.16
27.74,1000,23.27
15.32,1200,19.76
12.97,1000,15.6
14.22,1200,16.14
20.8,1500,22.86
11.15,1000,17.64
14.45,1000,15.16
15.86,1200,20.86
25.82,1200,19.2
22.46,1500,27.85
12.73,800,14.3
17.9,1500,20.94
17.49,1500,18.5
18.76,1500,20.86
13.28,1500,18.2
20.07,1000,14.02
14.08,1800,24.98
15.65,1500,20.51
10.87,1200,18.64
14.6,1500,19.83
26.88,1500,23.44
7.6,1800,19.22
20.87,2000,30.96
19.99,2000,28.57
16.66,1200,19.03
18.5,2000,27.82
18.11,1500,20.52
11.07,1000,15.17
10.37,1200,15.49
16.85,1000,15.35
21.68,1500,24.01
20.71,1200,23.14
13.08,1500,21.57
23.83,2000,28.39
16.43,1500,16.8
22.51,1000,23.47
16.05,800,15.44
20.05,1500,22.08
22.05,1800,27.13
15.02,800,8.49
22.17,1200,17.22
13.22,1200,15.9
13.09,1800,23.86
16.51,1500,23.51
22.17,1800,27.28
16.9,1200,21.89
13.11,1500,20.17
10.68,1000,12.75
21.66,1200,25.43
12.5,1200,18.08
10.66,1200,16.86
14.49,2000,23.76
13.47,1000,15.88
17.09,1500,23.25
23.89,1200,21.62
17.95,1000,15.29
18.9,1200,20.29
21.45,1200,22.87
21.12,1200,21.9
13.71,1000,16.9
13.72,1500,23.29
20.46,1200,22.4
12.17,1500,17.99
25.34,1200,25.29
12.77,1500,19.38
17.22,1200,20.63
12.14,1500,13.95
17.05,1000,18.1
9.01,1200,15.24
12.93,1000,14.04
15.07,1000,15.21
20.36,1200,18.23
18.0,1500,23.05
15.3,1200,20.91
16.9,1200,19.15
16.91,1500,21.53
15.93,1000,19.8
22.61,2000,28.41
12.05,2000,25.03
18.76,1500,21.9
27.1,1500,24.44
22.98,1500,23.78
18.74,1000,15.76
22.09,1800,26.55
14.44,1500,21.21
15.67,1000,14.31
19.97,1500,24.55
20.2,1000,19.89
24.98,800,16.81
15.24,1200,19.54
29.36,1000,24.4
18.3,1200,20.11
19.39,1200,19.62
19.8,1200,22.44
14.82,1000,15.85
20.78,1500,25.0
13.73,1500,20.23
20.12,1000,14.29
17.07,1200,22.9
18.39,1200,19.19
20.83,1000,21.91
21.79,1000,19.73
22.6,1200,21.4
22.0,2000,31.41
20.58,1500,25.19
20.91,1000,18.0
19.18,1000,13.81
18.06,800,11.71
15.93,1800,23.6
17.69,1500,22.0
19.06,1200,19.5
19.14,1500,22.85
16.28,1200,19.86
18.94,1000,16.4
18.05,800,16.53
21.81,1200,20.83
25.05,1000,23.35
23.49,1000,20.56
14.11,1500,17.65
22.75,1200,22.63
15.79,1500,22.78
13.52,1200,14.19
16.04,1800,24.58
13.56,1800,27.21
17.82,1200,19.83
10.93,1200,14.11
15.6,1000,17.61
17.03,1200,16.78
11.03,1000,16.04
17.97,1000,16.37
17.68,1200,17.25
23.09,1500,21.4
24.58,1200,21.42
26.66,1000,18.83
12.68,1000,14.35
21.73,1200,21.53
10.51,1200,19.28
13.39,1200,16.73
18.97,1500,20.75
22.19,1500,26.23
15.23,1500,24.2
22.28,1500,24.75
12.75,1200,17.18
17.27,1200,19.32
15.14,800,6.96
15.52,800,14.26
20.54,1000,21.35
9.38,1200,19.01
17.73,2000,28.15
22.82,1800,27.26
15.96,1200,19.04
13.96,1500,22.71
17.52,800,14.1
20.01,1200,22.72
13.58,1000,14.9
20.29,2000,27.15
31.81,1500,23.47
14.97,1200,19.48
15.65,800,14.26
11.26,2000,25.47
21.32,1800,26.35
19.58,1800,23.98
22.12,1000,18.55
29.07,1000,21.83
23.3,1200,21.88
14.32,1000,17.87
16.96,1200,19.81
19.81,1200,19.65
15.2,1800,25.27
16.82,1500,22.46
22.06,1200,20.59
19.18,1000,16.59
15.78,1800,21.84
17.29,1800,23.47
17.18,1500,22.46
13.24,1200,17.51
15.6,2000,29.13
20.08,1000,18.82
18.63,1000,16.31
10.5,1800,21.8
16.67,1000,15.32
19.9,1200,17.8
14.31,1000,13.61
19.6,1000,16.75
28.67,1000,24.31
13.76,1000,19.99
18.73,1800,24.3
21.75,1200,19.64
21.72,1000,19.86
21.11,1800,24.26
14.32,800,16.69
17.48,1000,16.49
14.6,1000,14.77
18.51,1000,15.95
20.45,1200,19.89
20.72,1200,18.67
6.39,1500,18.19
16.66,1200,19.87
13.06,800,12.58
12.36,1800,20.02
21.58,1800,29.99
14.32,800,19.08
7.96,800,14.65
19.67,1500,18.24
11.51,1500,20.48
19.44,1500,19.33
14.58,1500,18.45
20.35,1200,18.37
15.58,1500,16.81
19.1,1200,17.92
12.22,1800,26.6
19.99,1200,21.65
22.23,800,16.8
20.14,1500,21.78
24.6,1500,25.3
20.54,1200,19.4
21.01,1500,24.86
15.88,1500,25.03
19.5,1500,21.68
17.71,1200,22.37
15.08,1000,19.36
19.28,800,17.5
25.25,1500,26.41
15.06,1000,13.92
18.67,800,13.1
15.66,800,14.7
23.56,2000,33.12
16.17,1200,19.68
17.33,1800,24.3
17.77,1000,17.29
