Area (sqft),Price (Lakhs),Bedrooms
2601,89.42,2
2196,83.26,4
1127,42.52,3
1086,50.0,3
2148,73.26,2
1943,79.72,4
1945,61.21,1
603,21.45,2
753,38.01,2
1996,73.56,2
598,40.11,5
2700,96.35,3
2384,86.73,2
2419,85.28,3
1377,64.8,5
837,46.33,4
1456,56.38,3
2204,90.41,4
660,43.96,5
2103,74.17,3
897,34.95,1
1800,58.29,2
1315,69.52,4
2027,78.72,2
2419,95.14,4
1915,69.6,2
1658,56.65,1
1718,59.09,2
900,33.49,1
1139,54.55,5
959,51.29,4
1454,67.96,4
969,42.18,3
1545,53.37,2
2193,74.73,3
2585,99.84,3
2777,95.73,3
1062,40.87,2
2985,106.05,3
2299,80.38,2
2574,105.95,5
725,39.85,4
1297,43.22,2
2831,93.36,3
1459,55.87,3
2004,60.36,1
952,47.04,4
1315,65.99,4
1158,42.85,2
1046,39.49,2
1715,61.37,2
516,23.45,2
1743,56.95,1
2705,103.85,4
1569,56.49,1
2646,94.4,2
2268,98.32,4
1560,64.65,3
2827,105.98,2
801,30.15,2
680,35.86,1
1106,46.28,3
1199,39.56,1
1492,59.16,3
1639,73.08,5
690,31.13,2
2800,101.1,4
1480,73.55,5
2506,77.42,1
1684,73.8,4
627,41.45,3
2565,95.16,4
2316,88.45,3
2258,85.54,3
1069,58.33,3
1846,72.86,4
2395,90.83,3
1125,40.62,3
2186,83.1,4
654,31.39,2
1909,74.24,2
1284,42.39,2
745,36.28,2
2000,69.68,2
2205,78.54,4
1037,42.02,2
2390,95.25,3
2341,74.63,2
1420,62.05,4
2955,108.72,5
1024,38.38,2
2029,88.03,4
535,19.69,1
1184,62.53,4
519,31.12,2
2868,104.23,4
899,29.46,1
1471,54.65,3
2406,82.53,3
1666,61.75,2
1615,58.35,2
1333,41.87,1
2323,71.95,2
2482,89.99,3
1353,48.24,2
550,25.52,2
1074,38.74,1
1648,56.93,4
2697,83.24,2
2861,107.31,2
2852,88.03,1
2215,63.86,2
1181,48.18,4
1337,62.53,2
1577,53.8,2
2991,110.53,3
2811,99.94,3
2095,70.43,2
504,34.0,3
1626,56.86,4
1719,54.36,2
1273,50.73,3
1376,49.57,3
1491,51.83,2
546,25.65,1
768,28.7,1
869,52.72,4
1135,60.03,5
1629,68.83,3
2193,75.47,2
2182,77.51,3
1156,57.08,3
619,25.02,2
1330,46.62,1
2310,93.14,4
1581,61.64,2
2474,88.39,4
1869,71.33,2
1240,37.31,1
616,32.53,2
2353,83.27,2
1650,73.59,4
2431,76.9,2
1512,68.3,4
2164,85.35,3
1581,68.4,4
1133,39.9,2
1012,54.96,4
1619,64.14,3
1641,50.86,2
1059,37.29,2
987,46.98,4
1396,74.41,5
1712,63.01,1
1203,57.72,3
1970,80.26,4
1080,56.97,4
2794,103.12,5
653,34.62,3
2179,77.63,2
1496,49.51,2
1743,63.34,2
1592,71.19,3
1508,63.03,3
2641,93.82,2
2273,75.93,4
1457,66.5,3
952,42.63,3
1727,57.97,2
2765,97.08,3
2979,91.94,2
2888,101.88,2
1050,34.82,1
2135,70.36,2
1812,63.52,2
2257,88.3,3
856,31.34,1
2570,85.05,3
2285,80.87,2
2281,83.79,4
2989,103.89,5
2131,81.41,2
1515,57.74,2
1848,60.05,1
1015,43.72,3
835,47.04,3
2282,93.9,2
2805,101.39,3
996,34.73,2
1395,51.08,2
2707,98.36,3
1351,38.78,2
2187,82.28,3
2431,85.11,2
2927,119.44,5
2068,78.15,2
1456,54.24,2
2136,86.65,3
1791,73.91,2
1940,83.34,5
1691,67.82,3
1566,53.14,3
784,31.27,3
2944,109.13,5
511,33.11,4
2130,73.42,3
1253,52.41,3
2582,85.39,2
589,33.02,2
1275,50.88,3
2125,57.32,1
917,38.14,2
614,28.35,2
1116,39.17,2
1325,55.22,3
2149,79.09,4
2016,67.13,1
912,55.52,3
1228,47.81,4
1175,37.67,1
2392,88.38,4
2739,90.0,2
1622,63.76,2
2071,89.84,5
1477,58.55,2
1508,60.39,3
2643,92.68,4
2187,65.04,1
536,34.81,3
2048,87.29,5
2826,101.08,2
2764,104.39,4
1372,50.24,3
2321,82.02,3
1796,71.7,3
2609,91.82,2
1095,57.13,4
2403,86.85,4
1228,45.83,3
1865,70.0,3
896,49.08,3
1198,42.47,2
2724,98.99,3
2135,81.33,3
895,45.65,3
2992,113.08,3
575,35.06,2
764,24.95,1
2319,69.08,2
1217,43.12,2
1350,55.88,3
1890,69.89,3
643,44.13,3
1384,51.61,2
895,45.12,3
1992,70.85,2
1667,58.28,2
1562,52.24,3
2656,99.29,4
1565,73.22,2
1709,50.05,1
2945,89.28,2
1133,48.67,1
1656,68.39,3
1738,63.08,2
1232,58.77,3
734,27.86,2
1250,41.97,1
1453,58.37,2
2042,81.81,2
1697,55.07,2
2176,81.68,2
1691,72.64,4
2717,92.33,2
1916,82.44,5
1717,54.59,2
2040,86.02,4
2576,88.37,3
1945,67.95,3
2886,106.01,3
2019,79.52,3
1888,72.04,3
2356,91.08,3
1865,78.08,3
999,41.51,1
2180,72.76,2
1010,50.37,3
716,37.54,3
1824,78.35,3
1655,64.03,3
2327,93.03,5
2310,76.23,2
2992,100.71,2
1705,63.48,2
2714,93.85,2
590,39.45,4
1213,49.75,2
2381,85.32,3
538,21.78,2
672,30.36,3
1152,54.44,3
1253,49.94,2
1743,58.01,3
1581,62.91,2
2183,79.89,1
955,35.07,2
1328,46.52,1
1394,49.45,2
1884,74.66,3
2458,82.91,3
2934,102.66,3
2496,84.79,1
2895,108.03,3
689,32.8,2
1004,38.42,2
1714,63.46,4
2031,62.14,1
1323,52.34,3
1428,54.35,3
1433,53.29,2
1640,57.49,2
633,29.85,2
2605,104.16,4
1184,43.49,2
2720,84.69,2
2352,77.05,2
1314,57.34,3
1672,63.55,2
579,29.4,2
702,42.56,3
1752,71.63,4
2199,86.23,2
1750,66.59,2
2182,62.84,2
2055,85.65,3
2594,83.99,2
1756,62.51,3
2049,79.09,3
1666,56.29,3
1896,63.4,2
970,56.89,4
1535,63.83,3
1853,74.65,3
1467,45.73,1
857,43.02,5
1167,48.54,2
872,40.81,2
1531,55.35,1
1645,65.4,3
1871,61.29,2
589,39.86,2
1039,38.57,1
1368,50.17,2
540,30.35,3
1239,52.92,3
2446,88.73,2
1724,62.67,2
1428,62.13,3
2536,81.84,1
1424,52.16,2
2081,90.64,5
889,44.69,3
2117,72.66,2
755,33.9,3
1208,47.95,2
2338,85.53,3
2444,80.55,2
2997,95.7,2
509,27.32,2
1297,61.66,4
1376,54.48,3
1528,52.94,2
1515,51.3,2
2324,86.63,3
873,32.17,2
2693,102.0,2
723,44.64,5
1762,50.73,2
2724,96.57,3
2302,93.69,5
1352,56.12,2
562,23.3,1
1740,58.03,2
1188,54.21,4
1984,81.16,4
2133,68.17,3
2652,96.25,2
1010,41.14,3
884,53.61,4
904,44.08,3
1017,53.66,4
975,55.0,4
2500,92.87,3
2168,83.4,3
2393,80.97,2
1960,70.66,2
1213,48.45,3
582,25.74,2
1668,79.86,4
2401,92.99,5
2548,92.21,3
550,22.07,1
1184,43.97,2
1216,49.05,2
1969,77.02,3
948,38.81,3
1380,61.91,4
987,34.2,2
2323,93.63,4
2581,98.31,4
2642,89.67,2
2074,85.52,4
2701,89.65,2
749,37.04,2
1173,45.45,3
937,45.17,2
2665,92.2,3
1270,44.62,3
767,36.37,3
2484,82.31,2
1577,60.63,3
735,38.21,3
888,47.13,3
1262,46.9,2
2348,71.98,1
2948,97.81,3
1123,41.35,2
1752,58.12,3
1077,43.68,3
2622,99.88,3
934,38.9,3
2650,107.64,5
1263,51.76,4
1829,83.73,4
2645,108.54,4
1858,68.7,2
2982,109.42,2
946,45.16,3
2517,89.35,2
1831,71.24,2
748,33.34,2
665,27.19,3
1858,74.68,3
1519,58.21,3
1041,44.24,3
1258,59.23,4
2628,91.67,2
2680,101.15,4
1296,47.06,1
637,40.58,5
2731,96.72,3
1853,69.84,2
2375,90.11,2
568,37.67,2
2600,90.16,2
1973,73.39,2
704,46.03,3
2673,91.84,3
542,34.41,3
2406,96.02,4
2658,101.98,3
1260,47.11,3
2642,79.56,1
2494,89.93,3
2435,84.94,2
1399,72.58,5
859,48.36,4
2219,80.81,3
780,35.48,2
2387,93.12,4
1166,58.71,3
592,28.59,2
1171,43.21,2
2469,91.32,3
560,27.79,2
1528,57.99,4
1989,69.59,2
1103,37.59,1
1181,52.71,4
1928,73.02,2
2780,94.47,3
1023,42.97,2
2893,91.05,1
2468,89.58,3
1601,65.09,3
2253,76.05,3
2336,86.04,3
2796,110.32,3
2594,80.04,2
1644,59.03,2
2761,108.45,4
2786,100.09,3
1579,65.81,3
2897,85.03,2
606,31.17,2
547,27.6,3
836,46.63,4
1549,61.32,3
1780,84.79,4
2555,94.38,3
1124,43.16,2
2390,74.15,2
1776,63.89,2
2215,80.57,2
802,43.66,4
1138,41.61,2
555,28.79,3
1225,49.43,2
1025,44.55,2
973,46.0,2
527,20.84,2
2625,96.38,3
864,35.31,2
1025,45.29,3
1835,62.06,1
1382,53.5,2
1530,58.54,2
1526,55.49,3
2146,75.63,3
1418,59.97,2
2910,96.2,2
2274,84.75,3
2031,71.2,1
2406,84.5,2
1715,74.18,4
2154,84.09,3
984,28.94,2
2575,94.8,4
1213,53.73,3
1562,63.8,2
2476,89.61,3
1796,64.66,3
1754,58.53,2
2633,93.41,2
625,27.66,2
1036,46.04,3
2692,93.84,2
2572,82.65,4
2103,88.09,3
566,18.32,1
732,38.17,3
2656,81.16,2
1669,62.96,3
2658,100.96,3
2775,83.67,2
610,33.93,2
1993,68.42,2
2581,84.87,1
1122,46.95,2
2972,101.37,2
2041,81.91,5
1805,62.33,2
2261,70.52,2
2475,91.71,3
2862,99.37,1
1376,57.16,5
2489,85.86,3
1812,68.45,3
1960,69.67,2
2824,99.12,2
2233,76.23,2
2105,81.57,4
2026,71.3,1
2897,100.22,2
2130,91.59,5
1660,60.36,2
1258,52.66,2
742,28.98,2
1563,67.93,5
728,30.57,1
1419,49.44,3
1746,67.84,3
505,23.57,2
967,36.98,3
2255,67.99,1
574,26.68,2
503,35.26,3
2370,87.84,4
1145,55.42,3
617,33.83,3
2129,80.42,2
2521,77.61,1
1446,53.14,2
1964,70.76,2
693,29.89,2
1346,55.15,2
1915,56.41,2
1958,80.85,2
2720,100.89,3
2168,84.17,4
2873,93.43,2
1933,73.66,4
1641,72.46,4
2310,84.27,2
1223,50.88,3
724,42.25,3
1031,41.39,3
612,22.94,2
2687,104.68,3
1058,44.7,2
2548,98.42,3
2637,89.84,3
1153,44.97,3
819,37.78,3
2073,73.07,3
2328,83.37,2
2417,78.75,2
638,33.28,4
2526,86.49,2
2806,82.73,1
1401,43.03,2
1189,46.34,2
2539,92.42,5
509,34.15,3
760,35.82,4
2442,77.06,3
2173,73.72,2
2719,92.29,2
2560,94.26,3
1691,61.59,2
2119,78.27,4
820,48.17,4
1842,70.06,2
2136,83.05,5
2876,105.37,4
2494,88.45,3
2443,84.39,2
2538,85.12,2
1618,63.2,3
2104,76.33,2
2865,85.38,1
735,40.74,3
2469,89.78,2
833,48.16,3
2408,81.52,4
875,45.34,4
1660,49.97,2
2070,69.92,4
1819,60.29,1
2355,73.65,1
1872,72.66,3
1372,53.59,2
1752,68.8,2
2817,99.78,3
2351,95.15,2
1814,65.95,2
1224,55.93,2
2552,79.9,3
577,39.06,3
631,28.03,2
1100,33.26,2
2272,80.26,2
1565,50.44,1
2636,96.98,3
2949,103.53,2
2843,87.84,2
2363,90.96,3
1818,69.57,3
1115,55.21,3
2969,98.04,2
2388,79.29,2
1546,56.52,2
1074,42.73,2
2690,92.39,3
1492,62.28,4
2692,89.63,3
1748,65.27,3
1002,43.44,2
2497,89.22,3
1320,54.65,2
2651,93.6,3
2470,76.94,2
697,33.9,2
2169,71.7,2
2938,111.97,5
1702,67.25,2
1971,63.33,2
2146,75.2,2
2192,80.56,3
1812,72.86,3
2535,95.33,3
977,40.63,2
1754,65.82,3
1422,55.03,2
919,54.25,4
2704,95.98,3
1620,57.26,2
1450,50.44,1
2836,90.27,1
1777,56.62,2
2743,93.49,2
2357,78.98,3
1016,42.35,2
2158,70.75,2
2365,81.13,2
1641,61.18,2
2432,105.23,4
1314,53.13,2
2775,105.07,3
2400,101.36,4
2763,100.34,3
2562,98.29,4
2594,82.49,2
2871,110.55,5
629,25.25,2
594,25.81,2
2455,98.0,3
1293,59.36,4
2334,85.64,4
2616,90.35,1
2183,80.27,2
510,40.34,4
2365,70.92,2
1211,61.07,3
2570,94.31,4
1314,53.31,2
845,47.97,2
2849,106.25,2
862,30.97,2
2943,101.07,4
2765,100.1,2
2688,101.35,4
1484,52.02,2
2139,92.28,5
1327,49.0,2
855,34.16,1
1847,60.74,1
2363,89.5,3
626,29.31,3
1103,60.21,4
2428,86.33,2
1513,53.62,1
550,25.91,3
1930,76.4,2
2292,78.69,2
2136,92.72,5
2145,87.74,5
2967,110.31,4
1705,67.64,3
2354,66.52,2
1066,44.89,2
2918,112.37,3
1435,65.75,4
2434,73.23,1
1832,68.21,2
701,31.33,1
2860,103.36,3
616,38.11,4
1436,56.87,3
1074,40.99,2
2791,112.22,5
1036,39.04,3
2125,66.89,1
2622,96.64,2
885,44.72,2
974,26.83,1
917,46.85,5
2894,95.47,2
1438,67.6,4
1454,44.48,2
1375,50.98,2
1262,45.49,2
1702,67.69,2
1705,52.77,2
1163,55.35,4
